uid,iid,val
21,0,1
40,2,1
48,3,1
53,3,1
57,3,1
61,3,1
129,4,1
171,4,1
183,4,1
194,4,1
200,4,1
202,4,1
219,4,1
222,4,1
232,4,1
236,4,1
241,5,1
251,5,1
256,5,1
259,5,1
260,5,1
262,6,1
279,16,1
286,22,1
287,23,1
279,24,1
294,26,1
295,26,1
298,28,1
306,28,1
307,28,1
311,29,1
323,33,1
326,35,1
330,36,1
355,49,1
360,50,1
375,51,1
393,52,1
399,52,1
393,53,1
406,54,1
406,55,1
415,56,1
418,56,1
434,59,1
399,60,1
448,60,1
451,61,1
457,63,1
458,63,1
460,63,1
462,63,1
375,65,1
472,65,1
473,65,1
451,65,1
399,69,1
448,69,1
507,70,1
509,70,1
521,70,1
522,70,1
528,71,1
530,71,1
534,71,1
539,71,1
565,77,1
579,81,1
583,81,1
522,81,1
586,81,1
593,83,1
597,83,1
605,84,1
607,84,1
612,84,1
620,84,1
621,84,1
637,86,1
638,87,1
643,88,1
644,89,1
647,91,1
649,91,1
663,92,1
668,92,1
669,92,1
671,92,1
682,92,1
693,96,1
694,96,1
697,96,1
706,99,1
708,99,1
723,99,1
741,100,1
742,100,1
743,100,1
748,100,1
749,100,1
708,101,1
761,101,1
765,101,1
770,101,1
772,101,1
782,101,1
786,101,1
749,101,1
232,101,1
799,102,1
826,111,1
832,111,1
834,111,1
840,111,1
259,111,1
850,115,1
857,118,1
860,118,1
857,119,1
864,119,1
877,121,1
878,121,1
880,121,1
883,122,1
884,122,1
834,122,1
890,125,1
891,125,1
892,126,1
893,126,1
894,126,1
896,126,1
900,126,1
904,128,1
910,131,1
924,140,1
928,144,1
934,146,1
939,149,1
944,153,1
948,158,1
949,159,1
954,164,1
958,165,1
967,174,1
279,174,1
968,177,1
279,184,1
980,193,1
1001,201,1
1025,206,1
1035,208,1
1036,208,1
1037,208,1
1040,209,1
1053,211,1
1056,212,1
1058,213,1
1062,213,1
1067,216,1
1077,221,1
1094,222,1
1100,222,1
1114,223,1
1124,225,1
1140,232,1
1140,234,1
1147,235,1
1148,235,1
1153,235,1
1161,235,1
1163,235,1
1172,236,1
1173,237,1
1220,241,1
1124,243,1
48,247,1
57,261,1
772,275,1
894,283,1
406,308,1
884,312,1
890,324,1
53,336,1
1100,339,1
1094,362,1
1220,362,1
1094,365,1
799,374,1
451,397,1
891,415,1
612,424,1
295,426,1
638,428,1
949,463,1
298,469,1
723,515,1
1148,532,1
904,558,1
612,584,1
507,586,1
528,593,1
741,598,1
202,600,1
910,630,1
1148,646,1
1114,647,1
256,661,1
472,668,1
507,669,1
448,707,1
637,726,1
393,744,1
883,751,1
638,754,1
232,763,1
236,763,1
236,764,1
1114,767,1
1114,768,1
748,772,1
1148,777,1
928,780,1
782,801,1
194,802,1
782,802,1
893,815,1
1163,840,1
772,843,1
200,843,1
894,852,1
860,853,1
1163,866,1
765,888,1
295,888,1
894,889,1
1148,889,1
1124,894,1
939,895,1
612,903,1
