uid,iid,val
0,0,1
1,0,1
2,0,1
5,0,1
6,0,1
7,0,1
9,0,1
11,0,1
13,0,1
14,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,1
23,0,1
25,1,1
26,1,1
27,2,1
28,2,1
29,2,1
30,2,1
31,2,1
33,2,1
34,2,1
35,2,1
38,2,1
41,2,1
42,2,1
43,3,1
45,3,1
46,3,1
50,3,1
51,3,1
52,3,1
54,3,1
55,3,1
59,3,1
60,3,1
13,3,1
62,3,1
14,3,1
63,3,1
64,3,1
65,3,1
67,3,1
68,3,1
69,3,1
70,3,1
72,3,1
74,3,1
75,3,1
76,3,1
77,3,1
78,3,1
79,3,1
80,3,1
81,3,1
82,3,1
83,3,1
84,3,1
85,3,1
87,3,1
88,3,1
89,3,1
92,4,1
98,4,1
99,4,1
100,4,1
103,4,1
105,4,1
108,4,1
110,4,1
111,4,1
112,4,1
113,4,1
114,4,1
2,4,1
116,4,1
120,4,1
122,4,1
123,4,1
126,4,1
127,4,1
128,4,1
130,4,1
131,4,1
132,4,1
133,4,1
134,4,1
135,4,1
138,4,1
141,4,1
143,4,1
144,4,1
145,4,1
146,4,1
147,4,1
148,4,1
149,4,1
151,4,1
153,4,1
156,4,1
158,4,1
159,4,1
160,4,1
161,4,1
162,4,1
164,4,1
167,4,1
169,4,1
170,4,1
172,4,1
173,4,1
175,4,1
177,4,1
178,4,1
180,4,1
181,4,1
182,4,1
62,4,1
14,4,1
185,4,1
186,4,1
189,4,1
192,4,1
193,4,1
195,4,1
196,4,1
198,4,1
205,4,1
206,4,1
207,4,1
208,4,1
211,4,1
213,4,1
214,4,1
215,4,1
216,4,1
217,4,1
218,4,1
220,4,1
221,4,1
223,4,1
224,4,1
225,4,1
226,4,1
228,4,1
229,4,1
230,4,1
231,4,1
233,4,1
89,4,1
234,4,1
126,5,1
242,5,1
243,5,1
145,5,1
244,5,1
245,5,1
62,5,1
247,5,1
248,5,1
250,5,1
252,5,1
254,5,1
255,5,1
257,5,1
258,5,1
261,6,1
264,7,1
265,7,1
266,7,1
267,7,1
98,8,1
268,9,1
271,11,1
272,12,1
266,12,1
273,12,1
274,13,1
275,14,1
276,14,1
277,15,1
277,16,1
282,18,1
282,19,1
283,20,1
284,20,1
285,21,1
289,24,1
283,24,1
284,24,1
289,25,1
283,25,1
284,25,1
146,26,1
283,26,1
284,26,1
146,27,1
283,27,1
296,27,1
284,27,1
127,28,1
301,28,1
146,28,1
302,28,1
305,28,1
283,28,1
284,28,1
68,28,1
282,28,1
89,28,1
309,28,1
313,29,1
146,29,1
314,29,1
283,29,1
316,29,1
317,29,1
318,29,1
319,29,1
321,31,1
322,32,1
325,35,1
328,35,1
329,36,1
84,38,1
242,40,1
334,41,1
335,42,1
337,43,1
340,44,1
342,44,1
283,45,1
319,45,1
348,46,1
261,47,1
349,47,1
273,47,1
351,47,1
352,48,1
359,50,1
361,50,1
362,50,1
364,50,1
365,50,1
366,50,1
367,50,1
369,50,1
370,50,1
371,50,1
372,50,1
374,51,1
376,51,1
377,51,1
381,51,1
383,51,1
384,51,1
385,51,1
273,51,1
386,51,1
387,51,1
391,51,1
392,51,1
376,52,1
394,52,1
395,52,1
396,52,1
398,52,1
400,52,1
401,52,1
352,53,1
120,53,1
394,53,1
398,53,1
400,53,1
401,53,1
405,53,1
98,54,1
100,54,1
153,54,1
407,54,1
408,54,1
409,54,1
207,54,1
410,54,1
100,55,1
38,55,1
207,55,1
411,55,1
412,56,1
100,56,1
30,56,1
413,56,1
5,56,1
416,56,1
417,56,1
419,56,1
275,56,1
420,56,1
173,56,1
421,56,1
422,56,1
273,56,1
68,56,1
423,56,1
76,56,1
425,56,1
426,56,1
427,57,1
273,57,1
428,57,1
429,57,1
234,57,1
431,58,1
432,58,1
433,59,1
437,59,1
438,59,1
439,59,1
440,59,1
20,59,1
445,60,1
395,60,1
446,60,1
398,60,1
447,60,1
352,61,1
445,61,1
123,61,1
449,61,1
381,61,1
383,61,1
452,61,1
453,61,1
454,61,1
429,61,1
352,62,1
455,62,1
445,63,1
396,63,1
398,63,1
459,63,1
461,63,1
464,63,1
465,64,1
398,64,1
383,64,1
455,64,1
385,64,1
468,64,1
374,65,1
376,65,1
445,65,1
470,65,1
449,65,1
471,65,1
381,65,1
476,65,1
383,65,1
477,65,1
384,65,1
428,65,1
478,65,1
400,65,1
479,65,1
480,65,1
481,65,1
392,65,1
483,65,1
484,66,1
445,66,1
470,66,1
273,67,1
487,68,1
445,68,1
488,68,1
396,68,1
398,68,1
459,68,1
489,68,1
461,68,1
464,68,1
445,69,1
470,69,1
465,69,1
446,69,1
398,69,1
383,69,1
491,69,1
492,69,1
385,69,1
493,69,1
461,69,1
98,70,1
30,70,1
494,70,1
352,70,1
498,70,1
499,70,1
35,70,1
500,70,1
501,70,1
502,70,1
503,70,1
505,70,1
508,70,1
511,70,1
173,70,1
518,70,1
520,70,1
273,70,1
523,70,1
453,70,1
525,70,1
411,70,1
391,70,1
