uid,iid,val
46,4762,1
46,4763,1
46,4764,1
46,4765,1
46,4766,1
53,1078,1
53,1084,1
53,4959,1
53,4960,1
53,4961,1
411,1641,1
411,27872,1
411,31749,1
411,31750,1
411,31751,1
492,5749,1
492,12943,1
492,15560,1
492,36915,1
492,36916,1
520,5995,1
520,6053,1
520,9188,1
520,10374,1
520,38398,1
550,6440,1
550,38928,1
550,39542,1
550,39543,1
550,39544,1
593,42396,1
593,42397,1
593,42398,1
593,42399,1
593,42400,1
652,42670,1
652,42717,1
652,45719,1
652,45720,1
652,45721,1
741,50207,1
741,50208,1
741,50209,1
741,50210,1
741,50211,1
776,51919,1
776,51920,1
776,51921,1
776,51922,1
776,51923,1
783,34224,1
783,52024,1
783,52025,1
783,52026,1
783,52027,1
805,4710,1
805,5224,1
805,8261,1
805,52935,1
805,52936,1
806,52937,1
806,52938,1
806,52939,1
806,52940,1
806,52941,1
869,42107,1
869,54856,1
869,54857,1
869,54858,1
869,54859,1
943,58263,1
943,58264,1
943,58265,1
943,58266,1
943,58267,1
964,49162,1
964,49164,1
964,49165,1
964,49169,1
964,49200,1
1033,61624,1
1033,62680,1
1033,62681,1
1033,62682,1
1033,62683,1
1298,5784,1
1298,5785,1
1298,40884,1
1298,72758,1
1298,72759,1
1310,18703,1
1310,35757,1
1310,48739,1
1310,73199,1
1310,73200,1
1341,17767,1
1341,51479,1
1341,73976,1
1341,73977,1
1341,73978,1
1395,83,1
1395,1006,1
1395,1620,1
1395,75043,1
1395,75044,1
1426,36120,1
1426,57675,1
1426,75509,1
1426,75510,1
1426,75511,1
1488,4775,1
1488,16963,1
1488,54455,1
1488,76522,1
1488,76523,1
1564,6439,1
1564,44199,1
1564,44201,1
1564,59400,1
1564,78134,1
1630,44453,1
1630,79014,1
1630,79015,1
1630,79016,1
1630,79017,1
1678,8,1
1678,1641,1
1678,16997,1
1678,22519,1
1678,30621,1
1705,80919,1
1705,80920,1
1705,80921,1
1705,80922,1
1705,80923,1
1731,117,1
1731,11399,1
1731,11535,1
1731,81270,1
1731,81271,1
1751,57044,1
1751,70039,1
1751,72142,1
1751,72176,1
1751,81584,1
1797,20262,1
1797,34435,1
1797,34563,1
1797,43635,1
1797,70891,1
1802,28755,1
1802,83659,1
1802,83660,1
1802,83661,1
1802,83662,1
