uid,iid,val,tag
8,0,4,886958715
8,44,5,886960055
8,72,1,886959344
8,95,4,886959453
8,114,5,886960055
8,125,4,886959343
8,153,5,886960055
8,174,5,886960056
8,209,4,886960030
8,225,4,886959343
8,289,5,886960055
8,293,4,886959343
8,357,5,886960055
8,374,5,886960055
8,483,5,886960056
8,650,3,886959344
8,686,4,886959423
8,742,4,886958715
8,784,4,886959344
8,873,4,886959343
8,978,5,886960055
8,1030,5,886960055
18,44,3,885412839
18,47,4,885412840
18,60,3,885411840
18,92,3,885412840
18,95,3,885412034
18,139,2,885412034
18,157,4,885411840
18,179,4,885412723
18,221,4,885412840
18,331,4,885412251
18,342,4,885412840
18,347,3,885412840
18,389,5,885412723
18,430,3,885412723
18,437,3,885412840
18,509,4,885412063
18,565,4,885411465
18,618,5,885412840
18,710,2,885411792
18,931,4,885411465
33,0,5,888601628
33,48,5,888602742
33,60,2,888601628
33,72,4,888602513
33,95,1,888602808
33,117,4,888602923
33,289,5,888602513
33,339,2,888602808
33,360,1,888602950
33,419,5,888602742
33,495,5,888602808
33,509,4,888601628
33,582,5,888602923
33,659,5,888602842
33,673,4,888602742
33,803,5,888602808
33,876,5,888602808
33,1004,4,888602618
33,1135,5,888602618
33,1318,5,888603123
35,60,4,882157227
35,104,4,882157227
35,139,2,882157418
35,175,4,882157285
35,206,5,882157581
35,280,4,882157227
35,360,2,882157356
35,376,3,882157386
35,489,3,882157258
35,509,4,882157327
35,565,2,882157356
35,567,3,882157470
35,591,1,882157386
35,812,5,882157581
35,826,5,882157581
35,973,5,882157581
35,980,5,882157581
35,1001,5,882157581
35,1198,5,882157581
38,1,5,891400188
38,60,5,891400704
38,95,4,891400609
38,104,2,891400342
38,130,2,891400094
38,157,4,891400280
38,175,5,891400704
38,184,4,891400704
38,206,3,891400609
38,280,4,891400214
38,325,4,891400094
38,380,3,891400342
38,395,3,891400159
38,403,3,891400280
38,489,4,891400188
38,517,5,891400704
38,565,4,891400094
38,645,3,891400280
38,710,4,891400159
38,830,3,891400159
38,941,4,891400609
38,995,5,891400704
50,22,5,883498894
50,36,3,883498728
50,52,5,883498655
50,54,3,883498937
50,99,4,883498655
50,100,4,883498655
50,110,1,883498790
