uid,iid,val,tag
3,43,5,892002352
3,60,4,892001445
3,95,5,892004409
3,98,3,892001537
3,116,3,892004275
3,157,5,892001374
3,171,5,892002352
3,229,4,892004520
3,240,4,892003525
3,243,5,892002352
3,269,4,892001690
3,347,3,892003374
3,357,5,892003526
3,403,5,892002353
3,495,5,892002353
3,551,5,892002353
3,645,5,892001445
3,773,3,892003459
3,799,5,892002353
3,802,4,892004275
3,876,5,892002352
3,975,5,892002352
3,1001,2,892004275
3,1015,5,892002352
8,0,4,886958715
8,44,5,886960055
8,72,1,886959344
8,95,4,886959453
8,114,5,886960055
8,125,4,886959343
8,153,5,886960055
8,174,5,886960056
8,209,4,886960030
8,225,4,886959343
8,289,5,886960055
8,293,4,886959343
8,357,5,886960055
8,374,5,886960055
8,483,5,886960056
8,650,3,886959344
8,686,4,886959423
8,742,4,886958715
8,784,4,886959344
8,873,4,886959343
8,978,5,886960055
8,1030,5,886960055
16,12,3,885272751
16,24,4,885272579
16,49,4,885272520
16,63,4,885272696
16,77,2,885272628
16,83,3,885272674
16,95,4,885166209
16,103,4,885272751
16,117,2,885166209
16,120,2,885272779
16,140,3,885272724
16,144,1,885166256
16,148,4,885272606
16,209,4,885272487
16,242,3,885272779
16,289,3,885165619
16,355,4,885272520
16,371,5,885272654
16,387,4,885272724
16,399,3,885272606
16,431,3,885272654
16,489,4,885165619
16,500,3,885272558
16,549,1,885272538
16,592,2,885272654
16,661,1,885166209
16,686,4,885272654
16,849,1,885272724
18,44,3,885412839
18,47,4,885412840
18,60,3,885411840
18,92,3,885412840
18,95,3,885412034
18,139,2,885412034
18,157,4,885411840
18,179,4,885412723
18,221,4,885412840
18,331,4,885412251
18,342,4,885412840
18,347,3,885412840
18,389,5,885412723
18,430,3,885412723
18,437,3,885412840
18,509,4,885412063
18,565,4,885411465
18,618,5,885412840
18,710,2,885411792
18,931,4,885411465
26,23,3,891543222
26,30,4,891542897
26,49,5,891543129
26,58,4,891543009
26,60,3,891543129
26,151,3,891543164
26,153,4,891543164
26,165,2,891543222
26,242,3,891542987
26,287,4,891542897
26,289,3,891543393
26,331,2,891543191
26,340,2,891542987
26,355,2,891542942
26,357,3,891542897
26,364,3,891543129
26,381,4,891543245
26,402,4,891543191
26,445,3,891543164
26,500,4,891542942
26,574,3,891543129
26,760,3,891543222
26,848,5,891543191
26,949,3,891543245
26,1013,2,891543222
32,60,4,891964066
32,95,3,891964166
32,98,4,891964187
32,104,3,891964148
32,117,3,891964326
32,144,4,891964373
32,157,4,891964066
32,206,3,891964111
32,223,3,891964230
32,252,4,891964344
32,261,4,891964188
32,268,3,891964230
32,269,4,891964166
32,274,4,891964306
32,280,4,891964259
32,419,4,891964244
32,591,4,891964274
32,645,4,891964131
32,710,5,891963290
32,802,4,891964306
32,838,3,891964230
32,866,3,891964187
32,876,4,891964326
32,940,4,891964404
33,0,5,888601628
33,48,5,888602742
33,60,2,888601628
33,72,4,888602513
33,95,1,888602808
33,117,4,888602923
33,289,5,888602513
33,339,2,888602808
33,360,1,888602950
33,419,5,888602742
33,495,5,888602808
33,509,4,888601628
33,582,5,888602923
33,659,5,888602842
33,673,4,888602742
33,803,5,888602808
33,876,5,888602808
33,1004,4,888602618
33,1135,5,888602618
33,1318,5,888603123
34,0,2,875459166
34,43,3,875459017
34,48,4,875459237
34,51,3,875459017
34,98,3,875459046
34,116,2,875459099
34,157,2,875458941
34,175,4,875458970
34,251,3,875458970
34,268,4,875459073
34,274,3,875459017
34,280,4,875459017
34,339,4,875459017
34,391,4,875459099
34,482,2,875459099
34,517,4,875459237
34,645,5,875458970
34,661,2,875459046
34,847,3,875459017
34,911,3,875459237
34,912,3,875458941
34,925,2,875458970
34,980,3,875459046
34,1001,1,875459073
34,1171,2,875459127
35,60,4,882157227
35,104,4,882157227
35,139,2,882157418
35,175,4,882157285
35,206,5,882157581
35,280,4,882157227
35,360,2,882157356
35,376,3,882157386
35,489,3,882157258
35,509,4,882157327
35,565,2,882157356
35,567,3,882157470
35,591,1,882157386
35,812,5,882157581
35,826,5,882157581
35,973,5,882157581
35,980,5,882157581
35,1001,5,882157581
35,1198,5,882157581
38,1,5,891400188
38,60,5,891400704
38,95,4,891400609
38,104,2,891400342
38,130,2,891400094
38,157,4,891400280
38,175,5,891400704
38,184,4,891400704
38,206,3,891400609
38,280,4,891400214
38,325,4,891400094
38,380,3,891400342
38,395,3,891400159
38,403,3,891400280
38,489,4,891400188
38,517,5,891400704
38,565,4,891400094
38,645,3,891400280
38,710,4,891400159
38,830,3,891400159
38,941,4,891400609
38,995,5,891400704
45,43,4,883611456
45,48,4,883611482
45,49,4,883616134
45,52,4,883616254
45,60,2,883611307
45,72,5,883611274
45,95,2,883611307
45,98,4,883611430
45,103,4,883616218
45,104,3,883611430
45,117,3,883614625
45,175,5,883614645
45,189,5,883616133
45,209,4,883616155
45,280,5,883611374
45,289,5,883611352
45,346,5,883614766
45,357,4,883616254
45,532,4,883616218
45,549,4,883616284
45,645,3,883611307
45,710,5,883611274
45,850,5,883614766
45,1048,5,883614766
45,1118,3,883611513
45,1135,5,883614766
45,1285,5,883614766
46,1,5,879439040
46,40,3,879439144
46,43,4,879440360
46,51,2,879439078
46,60,2,879439078
46,104,4,879439112
46,139,4,879439040
46,144,2,879440360
46,157,4,879438984
46,243,4,879439112
46,251,4,879439040
46,289,3,879438984
46,346,5,879439040
46,360,4,879439040
46,380,4,879439113
46,403,4,879440333
46,419,4,879438984
46,464,3,879440429
46,489,4,879438984
46,495,3,879439078
46,575,3,879439143
46,579,3,879440429
46,727,3,879439078
46,742,5,879439078
46,850,5,879439040
49,30,3,877052329
49,43,3,877052093
49,49,2,877052400
49,60,4,877052008
49,68,2,877052438
49,139,4,877051656
49,242,5,877052438
49,289,2,877052400
49,306,3,877052784
49,331,1,877052400
49,355,5,877052167
49,481,5,877052329
49,495,5,877052008
49,500,4,877052297
49,549,2,877052502
49,565,5,877051687
49,642,5,877052550
49,686,2,877052400
49,730,4,877052297
49,842,4,877052937
49,848,4,877052958
49,858,1,877052400
49,971,5,877052501
49,1087,5,877052805
50,22,5,883498894
50,36,3,883498728
50,52,5,883498655
50,54,3,883498937
50,99,4,883498655
50,100,4,883498655
50,110,1,883498790
50,125,3,883498655
50,161,5,883498936
50,238,1,883498756
50,239,4,883498936
50,260,2,883498844
50,321,5,883498844
50,347,4,883498844
50,356,3,883498790
50,357,5,883498685
50,373,3,883498685
50,430,3,883498728
50,437,3,883498685
50,504,4,883498685
50,574,3,883498623
50,684,5,883498937
50,918,4,883498756
52,10,4,879443188
52,23,4,879443253
52,25,4,879443329
52,49,5,879442537
52,52,4,879443046
52,68,5,879443027
52,86,4,879442538
52,101,5,879442561
52,102,4,879442514
52,103,4,879443011
52,151,4,879443288
52,157,4,879442654
52,175,2,879443329
52,182,3,879442561
52,201,4,879442538
52,209,3,879442991
52,239,5,879442384
52,275,5,879442384
52,302,3,879443083
52,305,2,879442920
52,351,4,879442561
52,357,4,879442978
52,402,4,879443329
52,405,2,879442901
52,609,3,879442538
52,849,5,879443253
52,1009,3,879443303
52,1191,4,879443329
54,10,3,878176084
54,22,5,878176398
54,23,5,878176134
54,52,4,878176237
54,87,1,878176005
54,97,1,878176134
54,101,4,878176397
54,136,1,878176134
54,140,3,878176047
54,141,5,878176047
54,156,5,878176398
54,209,3,878176047
54,216,4,878176397
54,217,5,878176398
54,274,3,878176206
54,278,2,878176134
54,357,4,878176005
54,402,3,878176084
54,407,5,878176397
54,697,2,878176206
54,1111,1,878176134
60,40,4,891220884
60,43,2,891206407
60,72,2,891206407
60,95,2,891220884
60,98,5,891206371
60,144,3,891206450
60,157,4,891206125
60,175,2,892302120
60,184,5,892302120
60,261,3,891206274
60,269,1,892302231
60,274,3,892302309
60,280,3,891206232
60,403,1,891206450
60,489,3,891206125
60,509,4,891206194
60,604,2,891206126
60,645,5,891206407
60,661,2,892331237
60,1080,2,892302309
60,1081,4,891206274
77,10,4,879633721
77,43,1,879633495
77,60,4,879633467
77,77,5,879634264
