uid,iid,val,tag
3,26,4,978293964
3,43,5,978294230
3,44,5,978294199
3,48,5,978294230
3,63,5,978294008
3,64,3,978293924
3,113,4,978294008
3,124,2,978294199
3,127,5,978294199
3,139,5,978294282
3,156,4,978294260
3,208,4,978294282
3,209,4,978294260
3,210,4,978294282
3,211,4,978294260
3,212,4,978294230
3,213,5,978294199
3,214,1,978294008
3,215,5,978294230
3,216,5,978294230
3,217,5,978294260
11,0,4,978220179
11,7,5,978220237
11,9,5,978220120
11,127,5,978218949
11,128,5,978220193
11,174,3,978220216
11,176,3,978218568
11,434,5,978218949
11,486,5,978220179
11,497,4,978218916
11,546,3,978220120
11,559,3,978220237
11,661,5,978220237
11,669,5,978218949
11,829,3,978220273
11,830,3,978218949
11,831,4,978218949
11,832,2,978218568
11,833,4,978220216
11,834,4,978218916
11,835,4,978218568
11,836,1,978218568
11,837,3,978218568
13,38,5,978201003
13,43,4,978200975
13,51,1,978201244
13,68,4,978200828
13,104,3,978200645
13,105,4,978201317
13,134,4,978201003
13,168,2,978200300
13,184,5,978200689
13,244,5,978201244
13,263,4,978201003
13,317,2,978200800
13,500,5,978200975
13,541,3,978200924
13,651,2,978200645
13,860,3,978200924
13,861,5,978201280
13,862,1,978200645
13,863,4,978201317
13,864,4,978200320
13,865,3,978200300
13,866,1,978200689
13,867,5,978200528
13,868,1,978200340
13,869,3,978200300
19,48,4,978143106
19,58,4,978143369
19,68,5,978143344
19,92,5,978143508
19,97,4,978143508
19,104,4,1009669071
19,132,5,978143508
19,151,4,978143508
19,155,5,1009669181
19,214,4,1009669181
19,217,4,1009669181
19,242,5,978143306
19,246,5,978143181
19,272,5,978143508
19,290,4,978143576
19,387,2,1009669071
19,406,5,1009669116
19,641,4,1009669227
19,644,3,1009669115
19,840,4,1009669115
19,909,4,978143369
19,949,3,978143355
19,1163,3,1009669071
19,1164,3,1009669071
20,4,3,978139398
20,17,1,978139347
20,30,3,978139446
20,33,3,978139423
20,40,3,978139347
20,64,5,978138977
20,218,3,978139382
20,243,5,978139382
20,467,3,978139347
20,588,1,978139446
20,666,4,978138977
20,853,5,978139423
20,911,1,978138977
20,923,1,978139446
20,929,3,978138933
20,939,3,978139382
20,1165,3,978138933
20,1166,5,978139382
20,1167,4,978139540
20,1168,1,978138933
20,1169,3,978138977
20,1170,1,978138977
40,27,5,978039260
40,38,5,978041394
40,44,5,978039339
40,49,4,978039027
40,60,5,978039339
40,64,5,978039366
40,68,3,978040972
40,92,2,978039076
40,115,5,978039226
40,124,5,978039417
40,252,1,978039835
40,303,5,978041582
40,389,5,978039433
40,512,1,978039990
40,584,1,978039076
40,599,5,978039548
40,790,4,978040031
40,866,3,978040031
40,877,4,978041069
40,910,1,978039673
40,1076,3,978039045
40,1139,1,978039673
40,1210,2,978039092
40,1707,4,978039467
40,1708,3,978040861
42,5,5,978026345
42,38,5,978026580
42,41,3,978026321
42,50,5,978026605
42,104,4,978026708
42,134,5,978026580
42,171,5,978026305
42,184,5,978026432
42,237,4,978026614
42,315,4,978026483
42,454,3,978026495
42,516,4,978026432
42,547,5,978026321
42,627,4,978026345
42,730,4,978026321
42,788,4,978026393
42,873,5,978026410
42,875,1,978026410
42,881,4,978026543
42,891,3,978026605
42,915,4,978026591
42,919,4,978026483
42,923,5,978026561
42,941,4,978026460
46,0,4,977978345
46,7,4,977978604
46,23,5,977978521
46,51,3,977978658
46,67,4,977978708
46,82,4,977978369
46,128,2,977978548
46,167,4,977978548
46,174,4,977978641
46,336,3,977978369
46,381,4,977978774
46,383,5,977978570
46,385,3,977978345
46,417,5,977978774
46,434,4,977978570
46,453,3,977978345
46,669,4,977978570
46,796,4,977978739
46,1064,4,977978641
46,1466,4,977978590
46,1488,5,977978682
46,1624,4,977978774
54,16,4,977942827
54,23,5,977942911
54,38,5,977943181
54,39,4,977948415
54,50,5,977943112
54,67,3,977948346
54,92,5,977943155
54,97,5,977948346
54,128,4,977939130
54,151,5,977948394
54,164,4,977948394
54,167,5,977942882
54,171,5,977948435
54,194,3,977948346
54,244,3,977948346
54,259,3,977942911
54,280,5,977943112
54,420,4,977939165
54,481,3,977942827
54,483,4,977939083
54,795,3,977939130
54,799,3,977939597
54,939,5,977948346
54,1182,4,977942882
54,2001,4,977939597
63,38,5,977891721
63,48,5,977891269
63,64,4,977891229
63,68,5,977892547
63,92,5,977892524
63,104,5,977892800
63,127,5,977891212
63,186,5,977891761
63,205,5,977891761
63,209,2,977892074
63,237,4,977891537
63,243,5,977891605
63,287,4,977891933
63,438,4,977891212
63,463,3,977891288
63,533,2,977892736
63,605,4,977891803
63,740,5,977891874
63,790,4,977892590
63,876,3,977892852
63,1118,4,977892637
63,1155,4,977892637
63,1162,4,977892637
63,1172,4,977892673
63,1712,4,977892698
63,2138,4,977891568
63,2139,4,977891508
65,1,2,977886288
65,15,5,977886016
65,41,5,977886886
65,48,5,977885814
65,68,5,977886016
65,84,5,977886709
65,92,5,977886406
65,104,5,977885979
65,113,5,977886084
65,124,5,977886379
65,147,4,977886437
65,171,5,977885843
65,331,1,977886110
65,406,5,977886145
65,463,5,977886145
65,533,1,977886249
65,578,3,977886288
65,603,2,977886249
65,657,4,977885877
65,764,2,977886324
65,866,5,977886657
65,949,3,977886145
65,1180,3,977885877
65,1539,5,977886579
65,2142,2,977886754
65,2143,3,977885843
88,0,5,977683596
88,3,4,993955764
88,15,1,993955973
88,23,5,993955959
88,41,4,977683623
88,48,4,977683540
88,153,5,977683596
88,182,1,993956351
88,195,5,977683838
88,206,1,977683744
88,216,5,977683792
88,280,4,993955777
88,480,4,977683505
88,497,4,993956322
88,561,1,993956351
88,687,1,993956351
88,703,5,977683675
88,756,1,977683744
88,1216,1,993955973
88,1280,3,993963368
88,1284,4,993956335
93,41,4,977628482
93,192,4,977628700
93,273,4,977628669
93,321,4,977628455
93,331,5,977628502
93,715,5,977628700
93,980,4,977628669
93,990,5,977628669
93,997,5,977628669
93,1005,4,977628669
93,1046,3,977628455
93,1111,3,977628700
93,1115,3,977628669
93,1149,2,977628669
93,1229,4,977628669
93,1295,4,977628669
93,1536,5,977628700
93,1576,4,977628669
93,2290,3,977628482
93,2291,3,977628700
93,2292,3,977628700
97,15,5,977619432
97,23,5,977619797
97,48,5,977618907
97,58,4,977619500
97,64,3,977618854
97,68,5,977619376
97,128,3,977619797
97,153,5,977619248
97,167,5,977619823
97,236,5,977619349
97,244,4,977619823
97,431,2,977619349
97,534,3,977618950
97,603,1,977619456
97,702,4,977619477
97,1084,3,977619248
97,1236,4,977619376
97,1257,3,977619554
97,1516,3,977618854
97,1524,4,977619640
123,23,4,977446128
123,49,4,983726954
123,67,4,983727032
123,74,4,977445976
123,82,4,977445816
123,86,3,977445869
123,104,3,977446190
123,151,3,977446323
123,156,5,977446323
123,320,5,977446128
123,381,5,983727088
123,447,4,983726903
123,516,4,983727215
123,523,4,977445869
123,529,5,977446323
123,534,4,977445976
123,799,4,977445869
123,945,5,983727088
123,979,4,983726975
123,1106,4,983727053
123,1182,5,983726928
123,1914,5,983726873
123,2430,4,983727107
127,15,5,977434389
127,64,4,977434232
127,104,5,977434389
127,113,5,977434472
127,168,3,977434184
127,236,5,977434342
127,531,5,977434417
127,578,4,977434472
127,603,5,977434498
127,609,5,977434389
127,728,5,977434342
127,1007,5,977434232
127,1066,4,977434184
127,1131,5,977434389
127,1216,2,977434342
127,1232,5,977434389
127,1365,4,977434232
127,1523,5,977434472
127,2447,4,977434232
127,2448,5,977434184
127,2449,3,977434232
127,2450,3,977434232
140,15,5,977357480
140,27,4,977357373
140,58,3,977357526
140,68,4,977357480
140,104,3,977357453
140,113,5,977357499
140,236,5,977357453
140,338,4,977357612
140,416,4,977357480
140,417,3,977357372
140,531,3,977357480
140,629,3,977357612
140,985,4,977357612
140,1018,1,977357373
140,1185,1,977357373
140,1241,1,977357372
140,1283,4,977357612
140,1447,5,977357662
140,1689,5,977357526
140,1919,4,977357612
140,1960,5,977357612
140,2294,5,977357662
140,2516,4,977357612
151,5,5,977268949
151,7,4,977268843
151,15,3,977269017
151,27,1,977268731
151,40,4,977268921
151,50,4,977268843
151,84,5,977268981
151,89,4,977268843
151,134,4,977268879
151,168,5,977268750
151,206,5,977268879
151,273,4,977268859
151,315,3,977269017
151,316,5,977269046
151,356,5,977268879
151,515,5,977268933
151,597,5,977268949
151,600,4,977269031
151,618,5,977268843
151,786,5,977268750
151,791,4,977269046
151,843,4,977268731
151,1055,4,977268684
151,2253,2,977268702
152,38,5,978483461
152,51,5,977437460
152,104,4,977261711
152,243,5,978483369
152,317,5,978482709
152,427,2,978483369
152,480,3,977261473
152,537,4,977261524
152,544,5,977261836
152,788,5,977261886
152,807,4,978483620
152,837,3,985055174
152,862,5,977261790
152,866,5,978483205
152,899,5,978483275
152,1056,2,977261557
152,1181,5,977437554
152,1214,3,977261557
152,1333,5,977437594
152,1341,2,977261338
152,1607,1,978483675
152,1885,5,977261931
152,1933,5,985055064
152,2060,4,977437512
152,2597,5,977261473
152,2598,4,985055477
157,131,2,977242756
157,420,4,977242756
157,478,4,977243197
157,486,5,977243417
157,559,5,977243417
157,661,3,977243197
157,665,3,977243417
157,669,5,977243417
157,684,4,977242756
157,718,4,977243417
157,839,5,977243282
157,960,4,977243197
157,978,5,977242930
157,1092,4,977243197
157,1237,4,977243104
157,1240,4,977243417
157,1292,4,977243197
157,1449,3,977243197
