uid,iid,val,tag
3,26,4,978293964
3,43,5,978294230
3,44,5,978294199
3,48,5,978294230
3,63,5,978294008
3,64,3,978293924
3,113,4,978294008
3,124,2,978294199
3,127,5,978294199
3,139,5,978294282
3,156,4,978294260
3,208,4,978294282
3,209,4,978294260
3,210,4,978294282
3,211,4,978294260
3,212,4,978294230
3,213,5,978294199
3,214,1,978294008
3,215,5,978294230
3,216,5,978294230
3,217,5,978294260
6,22,4,978234581
6,48,5,978234786
6,58,4,978234737
6,62,5,978234842
6,68,3,978234737
6,74,3,978234898
6,78,5,978234786
6,90,5,978234874
6,92,5,978234786
6,97,5,978234786
6,107,4,978234632
6,113,4,978234607
6,120,5,978234874
6,124,5,978234632
6,132,5,978234786
6,148,5,978234874
6,150,5,978234874
6,151,5,978234786
6,156,3,978234810
6,189,4,978234842
6,195,5,978234842
6,237,3,978234737
6,255,4,978234842
6,264,3,978234810
6,319,4,978234874
6,406,4,978234737
6,430,4,978234874
6,431,5,978234737
6,432,4,978234874
6,433,5,978234842
6,434,4,978234659
11,0,4,978220179
11,7,5,978220237
11,9,5,978220120
11,127,5,978218949
11,128,5,978220193
11,174,3,978220216
11,176,3,978218568
11,434,5,978218949
11,486,5,978220179
11,497,4,978218916
11,546,3,978220120
11,559,3,978220237
11,661,5,978220237
11,669,5,978218949
11,829,3,978220273
11,830,3,978218949
11,831,4,978218949
11,832,2,978218568
11,833,4,978220216
11,834,4,978218916
11,835,4,978218568
11,836,1,978218568
11,837,3,978218568
13,38,5,978201003
13,43,4,978200975
13,51,1,978201244
13,68,4,978200828
13,104,3,978200645
13,105,4,978201317
13,134,4,978201003
13,168,2,978200300
13,184,5,978200689
13,244,5,978201244
13,263,4,978201003
13,317,2,978200800
13,500,5,978200975
13,541,3,978200924
13,651,2,978200645
13,860,3,978200924
13,861,5,978201280
13,862,1,978200645
13,863,4,978201317
13,864,4,978200320
13,865,3,978200300
13,866,1,978200689
13,867,5,978200528
13,868,1,978200340
13,869,3,978200300
19,48,4,978143106
19,58,4,978143369
19,68,5,978143344
19,92,5,978143508
19,97,4,978143508
19,104,4,1009669071
19,132,5,978143508
19,151,4,978143508
19,155,5,1009669181
19,214,4,1009669181
19,217,4,1009669181
19,242,5,978143306
19,246,5,978143181
19,272,5,978143508
19,290,4,978143576
19,387,2,1009669071
19,406,5,1009669116
19,641,4,1009669227
19,644,3,1009669115
19,840,4,1009669115
19,909,4,978143369
19,949,3,978143355
19,1163,3,1009669071
19,1164,3,1009669071
20,4,3,978139398
20,17,1,978139347
20,30,3,978139446
20,33,3,978139423
20,40,3,978139347
20,64,5,978138977
20,218,3,978139382
20,243,5,978139382
20,467,3,978139347
20,588,1,978139446
20,666,4,978138977
20,853,5,978139423
20,911,1,978138977
20,923,1,978139446
20,929,3,978138933
20,939,3,978139382
20,1165,3,978138933
20,1166,5,978139382
20,1167,4,978139540
20,1168,1,978138933
20,1169,3,978138977
20,1170,1,978138977
40,27,5,978039260
40,38,5,978041394
40,44,5,978039339
40,49,4,978039027
40,60,5,978039339
40,64,5,978039366
40,68,3,978040972
40,92,2,978039076
40,115,5,978039226
40,124,5,978039417
40,252,1,978039835
40,303,5,978041582
40,389,5,978039433
40,512,1,978039990
40,584,1,978039076
40,599,5,978039548
40,790,4,978040031
40,866,3,978040031
40,877,4,978041069
40,910,1,978039673
40,1076,3,978039045
40,1139,1,978039673
40,1210,2,978039092
40,1707,4,978039467
40,1708,3,978040861
42,5,5,978026345
42,38,5,978026580
42,41,3,978026321
42,50,5,978026605
42,104,4,978026708
42,134,5,978026580
42,171,5,978026305
42,184,5,978026432
42,237,4,978026614
42,315,4,978026483
42,454,3,978026495
42,516,4,978026432
42,547,5,978026321
42,627,4,978026345
42,730,4,978026321
42,788,4,978026393
42,873,5,978026410
42,875,1,978026410
42,881,4,978026543
42,891,3,978026605
42,915,4,978026591
42,919,4,978026483
42,923,5,978026561
42,941,4,978026460
46,0,4,977978345
46,7,4,977978604
46,23,5,977978521
46,51,3,977978658
46,67,4,977978708
46,82,4,977978369
46,128,2,977978548
46,167,4,977978548
46,174,4,977978641
46,336,3,977978369
46,381,4,977978774
46,383,5,977978570
46,385,3,977978345
46,417,5,977978774
46,434,4,977978570
46,453,3,977978345
46,669,4,977978570
46,796,4,977978739
46,1064,4,977978641
46,1466,4,977978590
46,1488,5,977978682
46,1624,4,977978774
54,16,4,977942827
54,23,5,977942911
54,38,5,977943181
54,39,4,977948415
54,50,5,977943112
54,67,3,977948346
54,92,5,977943155
54,97,5,977948346
54,128,4,977939130
54,151,5,977948394
54,164,4,977948394
54,167,5,977942882
54,171,5,977948435
54,194,3,977948346
54,244,3,977948346
54,259,3,977942911
54,280,5,977943112
54,420,4,977939165
54,481,3,977942827
54,483,4,977939083
54,795,3,977939130
54,799,3,977939597
54,939,5,977948346
54,1182,4,977942882
54,2001,4,977939597
63,38,5,977891721
63,48,5,977891269
63,64,4,977891229
63,68,5,977892547
63,92,5,977892524
63,104,5,977892800
63,127,5,977891212
63,186,5,977891761
63,205,5,977891761
63,209,2,977892074
63,237,4,977891537
63,243,5,977891605
63,287,4,977891933
63,438,4,977891212
63,463,3,977891288
63,533,2,977892736
63,605,4,977891803
63,740,5,977891874
63,790,4,977892590
63,876,3,977892852
63,1118,4,977892637
63,1155,4,977892637
63,1162,4,977892637
63,1172,4,977892673
63,1712,4,977892698
63,2138,4,977891568
63,2139,4,977891508
65,1,2,977886288
65,15,5,977886016
65,41,5,977886886
65,48,5,977885814
65,68,5,977886016
65,84,5,977886709
65,92,5,977886406
65,104,5,977885979
65,113,5,977886084
65,124,5,977886379
65,147,4,977886437
65,171,5,977885843
65,331,1,977886110
65,406,5,977886145
65,463,5,977886145
65,533,1,977886249
65,578,3,977886288
65,603,2,977886249
65,657,4,977885877
65,764,2,977886324
65,866,5,977886657
65,949,3,977886145
65,1180,3,977885877
65,1539,5,977886579
65,2142,2,977886754
65,2143,3,977885843
70,3,4,977876031
70,15,5,977875378
70,58,4,977875582
70,113,5,977875448
70,127,5,977875227
70,184,3,977875912
70,236,4,977875378
70,246,3,977875192
70,317,3,977876079
70,352,4,977875846
70,363,4,977876004
70,387,4,977875709
70,452,3,977875448
70,454,3,977876079
70,515,4,977875971
70,516,3,977875912
70,519,4,977875472
70,533,3,977875647
70,564,3,977875192
70,586,5,977875192
70,728,4,977875378
70,790,2,977875912
70,837,4,977875413
70,866,4,977875912
70,876,4,977875940
70,919,4,977876031
70,1216,3,977875622
70,1933,4,977875912
70,2073,4,977875192
78,22,3,977805171
78,58,3,977805472
78,73,3,977806080
78,137,3,977805976
78,168,3,977805249
78,237,4,977805338
78,246,4,977805731
78,251,3,977805976
78,258,5,977805731
78,293,3,977805472
78,305,5,977805821
78,325,5,977805731
78,340,4,977805552
78,349,5,977805338
78,431,5,977805338
78,500,5,977805821
78,519,4,977805418
78,582,3,977805171
78,676,3,977805249
78,837,1,977805367
78,955,4,977805731
78,1258,4,977805821
78,1368,3,977805976
78,1518,5,977805171
78,1523,5,977805338
78,1613,3,977805472
78,1852,1,977805418
78,1877,3,977805583
78,2154,5,977805171
78,2224,2,977805821
78,2225,4,977805821
83,5,5,977717306
83,23,4,977717723
83,44,5,977717190
83,48,4,977717190
83,60,1,977717036
83,64,5,977717352
83,68,5,977716772
83,92,5,977717190
83,104,4,977717867
83,113,4,977716384
83,124,5,977717559
83,127,5,977717559
83,132,5,977717306
83,151,4,977717352
83,171,3,977716318
83,177,1,977717915
83,186,5,977717352
83,202,1,977716568
83,209,5,977717306
83,217,4,977717306
83,587,2,977717649
83,611,4,977717723
83,683,2,977716318
83,714,5,977717306
83,740,5,977716532
83,1018,3,977716350
83,1150,5,977716384
83,1188,5,977716681
83,1228,5,977717757
83,1241,1,977716600
83,2233,2,977717649
88,0,5,977683596
88,3,4,993955764
88,15,1,993955973
88,23,5,993955959
88,41,4,977683623
88,48,4,977683540
88,153,5,977683596
88,182,1,993956351
88,195,5,977683838
88,206,1,977683744
88,216,5,977683792
88,280,4,993955777
88,480,4,977683505
88,497,4,993956322
88,561,1,993956351
88,687,1,993956351
88,703,5,977683675
88,756,1,977683744
88,1216,1,993955973
88,1280,3,993963368
88,1284,4,993956335
93,41,4,977628482
93,192,4,977628700
93,273,4,977628669
93,321,4,977628455
93,331,5,977628502
93,715,5,977628700
93,980,4,977628669
93,990,5,977628669
93,997,5,977628669
93,1005,4,977628669
93,1046,3,977628455
93,1111,3,977628700
93,1115,3,977628669
93,1149,2,977628669
93,1229,4,977628669
93,1295,4,977628669
93,1536,5,977628700
93,1576,4,977628669
93,2290,3,977628482
93,2291,3,977628700
93,2292,3,977628700
97,15,5,977619432
97,23,5,977619797
97,48,5,977618907
97,58,4,977619500
97,64,3,977618854
97,68,5,977619376
97,128,3,977619797
97,153,5,977619248
97,167,5,977619823
97,236,5,977619349
97,244,4,977619823
97,431,2,977619349
97,534,3,977618950
97,603,1,977619456
97,702,4,977619477
97,1084,3,977619248
97,1236,4,977619376
97,1257,3,977619554
97,1516,3,977618854
97,1524,4,977619640
123,23,4,977446128
123,49,4,983726954
123,67,4,983727032
123,74,4,977445976
123,82,4,977445816
123,86,3,977445869
123,104,3,977446190
123,151,3,977446323
123,156,5,977446323
123,320,5,977446128
123,381,5,983727088
123,447,4,983726903
123,516,4,983727215
123,523,4,977445869
123,529,5,977446323
123,534,4,977445976
123,799,4,977445869
